"","max_y","min_y","abs_lat"
"longitibialis",18.012,17.57,18.012
"loveridgei",15.7,13.133,15.7
"loysianus",22.804,19.987,22.804
"luciae",14.037,13.837,14.037
"lucius",23.112,20.762,23.112
"luteogularis",22.837,21.67,22.837
"luteosignifer",19.724337,19.723985,19.724337
"lynchi",2.806,-0.468,2.806
"lyra",3.93,-0.888,3.93
"macilentus",20.287,20.204,20.287
"macrinii",15.977,15.73,15.977
"macrolepis",5.581,2.515,5.581
"macrophallus",18.823,13.49,18.823
"maculigula",7.29,5.883,7.29
"maculiventris",9.497,-1.009,9.497
"magnaphallus",8.86,8.776,8.86
"marcanoi",18.704,18.237,18.704
"mariarum",7.29,5.74,7.29
"marmoratus",16.395,15.87,16.395
"marron",18.254,18.187,18.254
"marsupialis",9.481635,8.746962,9.481635
"matudai",17.517,14.93,17.517
"maynardi",19.704,19.67,19.704
"medemi",2.97304,2.963785,2.97304
"megalopithecus",6.771,4.748,6.771
"megapholidotus",18.1,16.577,18.1
"menta",10.867687,10.866358,10.867687
"meridionalis",-11.217,-22.9,22.9
"mestrei",23.02,22.287,23.02
"microlepidotus",18.5,16.971,18.5
"microtus",10.046,8.496,10.046
"milleri",17.64,15.362,17.64
"mirus",5.7432,5.7432,5.7432
"monensis",18.087,18.087,18.087
"monteverde",10.364,10.283,10.364
"monticola",18.612,18.279,18.612
"morazani",15.02,15.017,15.02
"muralla",15.127,15.08,15.127
"nasofrontalis",-19.769583,-19.863512,19.863512
"naufragus",21.133,18.301,21.133
"neblininus",0.92,0.83,0.92
"nebuloides",26.983,15.69,26.983
"nebulosus",30.2,15.657,30.2
"nelsoni",16.5,16.5,16.5
"nicefori",7.66667,7.12823,7.66667
"noblei",20.962,19.954,20.962
"notopholis",6.33,3.599,6.33
"nubilus",17.118,16.933,17.118
"occultus",18.304,18.254,18.304
"ocelloscapularis",15.517,14.783,15.517
"oculatus",19.004,19.004,19.004
"oligaspis",23.100564,23.097214,23.100564
"olssoni",19.754,17.979,19.754
"omiltemanus",17.71,17.39,17.71
"onca",12.22,10.117,12.22
"opalinus",18.42,18.145,18.42
"ophiolepis",23.137,19.987,23.137
"oporinus",20.009,20.009,20.009
"orcesi",0.529,-1.402,1.402
"ortonii",5.79,-15.49,15.49
"otongae",-0.419,-0.523,0.523
"oxylophus",17.13,9.567,17.13
"pachypus",10.825,8.776,10.825
"paravertebralis",10.497302,10.497302,10.497302
"parilis",1.063,0.797,1.063
"parvicirculatus",17.182,16.83,17.182
"paternus",22.312,21.67,22.312
"pentaprion",20.68,4.48,20.68
"peraccae",1.67,-1.866,1.866
"petersii",21.397,14.377,21.397
"peucephilus",16.21813,16.19216,16.21813
"philopunctatus",-1.74244,-2.9979,2.9979
"phyllorhinus",-4.39,-10.27,10.27
"pigmaequestris",22.637,22.637,22.637
"pijolense",15.2,15.167,15.2
"pinchoti",13.364295,13.338412,13.364295
"placidus",19.312,18.687,19.312
"planiceps",10.503462,0.685358,10.503462
"podocarpus",-4.227,-4.227,4.227
"poecilopus",9.552,5.537,9.552
"poei",-0.143138,-0.1665857,0.1665857
"pogus",18.037,18.037,18.037
"polylepis",10.38,8.313,10.38
"polyrhachis",17.807,16.72,17.807
"poncensis",18.012,17.937,18.012
"porcatus",23.17,18.47,23.17
"porcus",21.937,20.154,21.937
"princeps",2.96,-1.118,2.96
"proboscis",-0.029,-0.051,0.051
"properus",18.56191667,18.5599,18.56191667
"propinquus",3.884644,3.884644,3.884644
"pseudokemptoni",8.508,8.496,8.508
"pseudopachypus",8.679,8.495,8.679
"pseudotigrinus",-21.0983,-21.0983,21.0983
"pulchellus",18.512,17.954,18.512
"pumilus",23.137,22.045,23.137
"punctatus",5.085,-22.917,22.917
"purpurgularis",15.65,15.43,15.65
"pygmaeus",17,15.378,17
"quadriocellifer",21.987,21.987,21.987
"quaggulus",16.517,9.557,16.517
"quaggulus/humilis",9.801,9.555,9.801
"quercorum",18.717,16.22,18.717
"ravitergum",18.2836,18.2836,18.2836
"reconditus",18.145,18.145,18.145
"rejectus",20.02,20.02,20.02
"richardi",13.012479,11.135,13.012479
"ricordii",19.895,18.087,19.895
"rimarum",19.52387,19.5164,19.52387
"rivalis",7.659,6.03,7.659
"roatanensis",16.333,16.329,16.333
"rodriguezii",22.902,13.67,22.902
"roosevelti",18.32,18.32,18.32
"roquet",14.762,14.437,14.762
"rubiginosus",16.667977,16.667977,16.667977
"rubribarbaris",15.069637,15.069637,15.069637
"rubribarbus",20.654,20.337,20.654
"ruibali",20.035566,20.035566,20.035566
"ruizii",6.13,4.28972,6.13
"rupinae",19.691948,18.40029,19.691948
"sabanus",17.645,17.629,17.645
"sagrei",23.17,18.012,23.17
"salvini",15.883,8.77,15.883
"santamartae",10.745,10.745,10.745
"scapularis",-10.967,-11.11,11.11
"schiedii",20,16.8,20
"schmidti",23.29,18.54,23.29
"schwartzi",17.47529,17.13,17.47529
"scriptus",22.387,22.387,22.387
"scypheus",11.017,-22.964,22.964
"semilineatus",20.02,18.187,20.02
"sericeus",24.317,9.967,24.317
"serranoi",18.823,10.42,18.823
"sheplani",18.829,18.095,18.829
"shrevei",19.054,18.42,19.054
"simmonsi",17.11,16.2,17.11
"singularis",18.837,18.095,18.837
"smallwoodi",20.637,19.912,20.637
"smaragdinus",25.162,25.154,25.162
"sminthus",17.07,13.483,17.07
"soinii",-3.961,-4.543,4.543
"solitarius",11.06,11.03,11.06
"spectrum",22.854,21.67,22.854
"squamulatus",10.349,10.2,10.349
"strahmi",18.004,18.004,18.004
"stratulus",18.437,17.97,18.437
"subocularis",19.23,15.7,19.23
"sulcifrons",9.543,4.21,9.543
"tandai",-2.843127,-13.319223,13.319223
"taylori",17.658,15.917,17.658
"tenorioensis",10.70521,10.70521,10.70521
"terraealtae",15.999,15.999,15.999
"terueli",21.287,21.287,21.287
"tetarii",10.36667,10.36667,10.36667
"tigrinus",11.188,9.961,11.188
"toldo",20.61161,20.61161,20.61161
"tolimensis",6.28,4.34,6.28
"townsendi",5.530462,5.530462,5.530462
"trachyderma",3.383,-11.863,11.863
"transversalis",1.26,-11.804,11.804
"trinitatis",14.012,13.137,14.012
"tropidogaster",11.23,4.21,11.23
"tropidolepis",10.933,8.84,10.933
"tropidonotus",21.21,12.921,21.21
"umbrivagus",10.70198,10.70198,10.70198
"uniformis",26.9,14.783,26.9
"unilobatus",17.688,10.333,17.688
"utilensis",16.115,16.106,16.115
"utowanae",24.02,23.24,24.02
"valencienni",18.504,17.887,18.504
"vanidicus",21.97,21.912,21.97
"vanzolinii",0.644,0.46,0.644
"vaupesianus",1.17,-1.33,1.33
"ventrimaculatus",5.875,0.832,5.875
"vermiculatus",22.804,22.162,22.804
"vescus",20.162,20.162,20.162
"vicarius",6.99593,6.99593,6.99593
"villai",12.170153,12.170153,12.170153
"vinosus",18.186826,18.186826,18.186826
"vittigerus",9.543,5.482,9.543
"wampuensis",15.07,15.05,15.07
"wattsi",17.479,17.479,17.479
"websteri",19.47,18.245,19.47
"wellbornae",14.553,12.375,14.553
"wermuthi",13.708,12.969,13.708
"whitemani",19.854,18.287,19.854
"woodi",10.498,8.697,10.498
"woodi-allo",9.739,8.697,9.739
"yoroensis",15.526,14.983,15.526
"zeus",15.917,14.883,15.917
