species,minLat,maxLat,Midpoint_Lat,Log10_meanSVL,P-comp,S-comp,Anntemp,AET,GVI,NDVI,season_temp,season_prec
darlingtoni,18.412,19.045,18.7285,1.875061263,1.750006753,0.12505451,182.6415604,1152,207,197.1481476,1283.022241,57.51594086
datzorum,8.496,8.904,8.7,1.67669361,1.802730005,-0.126036395,170.2152974,1185.181818,235.9090909,183.2659912,497.8332547,51.51396006
desechensis,18.38,18.38,18.38,1.707570176,1.769566438,-0.061996262,256,1282,255,1,1101.66687,40
desiradei,16.300684,16.31679,16.308737,1.822821645,1.830329599,-0.007507954,253.5837054,1156.142857,255,181.8835994,1083.059099,32.34300886
distichus,17.962,20.045,19.0035,1.73239376,1.696340281,0.036053479,237.411843,1156.730871,217.5145119,190.400152,1225.338102,46.01363204
dolichocephalus,18.279,18.637,18.458,1.67669361,1.698533244,-0.021839634,227.5756291,1373.428571,211.7142857,199.6745998,1269.118635,51.29966736
dollfusianus,14.384,17.56,15.972,1.618048097,1.737564676,-0.119516579,221.737842,1296.312977,236.4732824,189.1839133,825.2204543,81.47360695
dominicensis,18.0689,20.0452,19.05705,1.72427587,1.697808528,0.026467342,242.9400485,1094.468468,222.954955,191.1783462,1211.498828,49.30795479
duellmani,17.482,18.563,18.0225,1.596597096,1.704587502,-0.107990406,221.1899891,1251.625,236.5,207.8350697,1980.297501,63.91976404
dunni,17,18.6,17.8,1.72427587,1.697126724,0.027149146,235.4643357,950.5263158,229.9649123,198.1657728,1143.455559,106.2950358
equestris,19.987,23.137,21.562,2.252853031,2.229585977,0.023267054,245.1219376,1134.695652,216.826087,194.7960961,1888.224716,56.26301865
ernestwilliamsi,18.426,18.426,18.426,1.86923172,1.769562376,0.099669344,257.5553284,1029,255,195.5740814,1168.221802,36.88882828
etheridgei,18.42,19.204,18.812,1.638489257,1.667544791,-0.029055534,171.6966125,1102.173913,225.8478261,201.7507036,1313.817667,44.00257654
eugenegrahami,19.629,19.654,19.6415,1.822821645,2.088621829,-0.265800184,243.7905019,1355.333333,232,201.4212952,1297.279663,34.96716054
eulaemus,3.483,5.794,4.6385,1.973127854,1.839843254,0.1332846,196.6764725,1325.6,217.3,193.7685181,297.2304047,32.03699722
euskalerriari,9.803,10.373,10.088,1.72427587,1.859846443,-0.135570573,162.7770691,1261,233.5,194.1875,593.1292419,56.25924873
evermanni,18.02,18.395,18.2075,1.832508913,1.76832111,0.064187803,226.9519623,1402.48,226.68,206.2453711,1233.328579,35.13030212
extremus,13.104,14.004,13.554,1.854306042,1.901923541,-0.047617499,258.5467796,1151.25,255,142.7210655,896.400116,45.22834587
fairchildi,22.303198,22.303198,22.303198,1.880813592,1.822656871,0.058156721,262.9259033,706,255,167.75,1862.178833,49.51106644
fasciatus,-3.665,-0.55,-2.1075,1.854306042,1.842494495,0.011811547,241.0166353,976.125,210.2916667,184.3738461,699.1587296,91.12506294
favillarum,18.041632,18.15341667,18.09752434,1.716003344,1.698020355,0.017982989,240.2439658,1186.363636,217.3636364,220.4149905,1000.693831,59.47772494
ferreus,15.918,15.918,15.918,1.970811611,1.829469917,0.141341694,252.5554504,1128,255,189.0046234,982.2219238,37.4444046
festae,-3.803,1.185,-1.309,1.72427587,1.842317891,-0.118042021,246.9444824,1056.6,207.6,186.8279338,816.6537821,85.67912884
fitchi,-2.253,0.583,-0.835,1.926856709,1.857729024,0.069127685,188.9836942,1445.34,237.52,195.1290747,437.3520193,24.39013527
forresti,17.632172,17.635034,17.633603,1.685741739,1.81938159,-0.133639851,265.0305595,784.625,255,197.3009338,1138.135162,29.85302353
fortunensis,8.674,8.753,8.7135,1.69019608,1.693008274,-0.002812194,201.8450034,1341.285714,233.7142857,185.5347225,458.8557085,45.06436838
fowleri,18.687,18.837,18.762,1.889301703,1.659353933,0.22994777,149.5273315,1160,219,199.8675934,1272.18374,48.22979355
fraseri,-2.097,4,0.9515,2.051152522,2.000530046,0.050622476,192.9671689,1202.574468,219.5744681,161.5287622,341.188236,62.12929843
frenatus,4.63,10.432,7.531,2.115610512,1.993589187,0.122021325,249.1527873,1420.147541,236.2622951,196.4228145,529.6159923,42.4503928
fugitivus,20.637,20.637,20.637,1.537819095,1.571794446,-0.033975351,256.5180969,1271,255,189.4537048,1634.655273,31.01226044
fungosus,8.718,9.879,9.2985,1.681241237,1.746996002,-0.065754765,204.7625529,1390.333333,231.1111111,179.5519545,536.8056234,42.18286345
fuscoauratus,-19.917,11.017,-4.45,1.694605199,1.691383077,0.003222122,245.2089113,1544.588235,232.377709,208.6580085,558.7319707,28.61526777
