"species","svl_mean","head.count_mean","midline.count_mean","dorsal.count_mean","dorsolateral.count_mean","chin.count_mean","ventral.count_mean","foretoes.count.t_mean","foretoes.count.b_mean","hindtoes.count.t_mean","hindtoes.count.b_mean"
"lyra",66.47,-3.50110040727543,-3.18264667615689,-3.01559259149373,-2.6901701910591,-2.44504773302611,-3.63463179989995,-2.53601951123184,-3.09563529916726,-2.87249174785305,-3.50110040727543
"maynardii",51.39,-3.4502541271879,-2.75710694662796,-2.7094518567258,-2.7094518567258,-2.19789948864581,-2.92135898011398,-1.56644106219126,-2.26373764415856,-1.90473290050875,-2.38613827426327
"mccraniei",52.638,-3.11808268567562,-3.54847233216894,-3.72698717322031,-2.98672677839781,-2.68058171074597,-3.5038436219061,-2.09896307813669,-2.58312001984382,-2.50489041371978,-2.98672677839781
"microtus",105.97,-4.72142494331072,-4.21059931954473,-4.21059931954473,-4.21059931954473,-3.51745213898479,-4.02827776275078,-3.11198703087662,-4.02827776275078,-3.51745213898479,-3.94823505507724
"milleri",46.69,-3.08138995693595,-2.67592484882778,-2.47525415336563,-2.30820006870247,-1.82862698844058,-2.92723927710869,-1.97919984691996,-2.38466495502812,-2.30820006870247,-2.92723927710869
"morazani",52.33,-3.37055959440013,-3.37055959440013,-3.11112459810005,-2.56525500163311,-2.56327675645984,-3.43133344666478,-2.2205637457896,-2.71253258572613,-2.58995765901769,-3.06661413389187
"neblininus",56.33,-3.86280860128166,-2.9465178694075,-2.76419631261355,-2.9465178694075,-2.15806050904323,-2.9465178694075,-1.95622030829465,-2.54400697319677,-2.30466398323511,-2.68415360494001
"nebulosus",46.06,-3.05341610489354,-2.54259048112755,-2.54259048112755,-2.3602689243336,-2.3602689243336,-2.64795099678538,-2.13712537301939,-2.3602689243336,-2.3602689243336,-2.76573403244176
"nelsoni",47.5733333333333,-3.06498752668483,-2.57377540292648,-2.29377588362462,-1.99973639086904,-2.0605102431337,-2.91770994259181,-1.6502944607898,-2.34758248134926,-2.09512541907123,-2.51300155066183
"nicefori",48.49,-3.15775120307261,-2.87006913062083,-2.46460402251266,-2.55161539950229,-1.77145684195272,-2.87006913062083,-1.77145684195272,-2.24146047119845,-2.00507169313422,-2.24146047119845
"ocelloscapularis",46.9025,-2.68591381451416,-2.44070650126123,-2.29931887039742,-2.14365038942178,-1.92687526750094,-2.65646805560007,-1.99235122313863,-2.46973684935974,-2.33509408130759,-2.77114546125681
"onca",66.07,-3.62104866225287,-3.36973423397196,-3.26437371831414,-3.16906353850981,-2.7943700890684,-3.77519934208013,-2.67658705341202,-2.85890861020597,-3.16906353850981,-3.08205216152018
"oporinus",55.31,-4.11430621826687,-2.81502323413661,-2.81502323413661,-3.01569392959876,-2.12187605357667,-2.91033341394094,-1.81472864633678,-2.32555427010277,-2.03486467658704,-2.50486830583277
"pachypus",50.6375,-2.8115959806932,-2.81470161069284,-2.45444679549055,-2.10493199481569,-2.16071788264424,-2.93331610559162,-2.2383893990439,-2.55269372875509,-2.59550189297971,-3.0224848415763
"pecuarius",52.77,-3.04023289362693,-2.55472507784523,-2.55472507784523,-2.48061710569151,-2.41162423420456,-2.81708934231272,-1.62631648274318,-2.2324522863135,-1.94162060495882,-2.41162423420456
